,end_schedule
200,"{10: 17161, 11: 17188, 12: 17218, 13: 17241, 14: 17263, 15: 17292, 38: 17461, 35: 17464, 34: 17486, 82: 17532, 81: 17570, 85: 17630, 84: 17651, 83: 17667, 16: 17731, 17: 17744, 88: 17769, 89: 17794, 93: 17853}"
201,"{92: 19081, 91: 19106, 90: 19131, 1: 19223, 86: 19248, 87: 19308, 2: 19350, 3: 19391, 4: 19426, 36: 19429, 37: 19561, 5: 19589, 6: 19623, 7: 19656, 8: 19681, 9: 19740}"
202,"{92: 19561, 91: 19586, 90: 19611, 1: 19703, 86: 19728, 87: 19788, 2: 19830, 3: 19871, 4: 19906, 36: 19909, 37: 20041, 5: 20069, 6: 20103, 7: 20136, 8: 20161, 9: 20220}"
203,"{92: 20881, 91: 20906, 90: 20931, 1: 21023, 86: 21048, 87: 21108, 2: 21150, 3: 21191, 4: 21226, 36: 21229, 37: 21361, 5: 21389, 6: 21423, 7: 21456, 8: 21481, 9: 21540}"
204,"{10: 19861, 11: 19885, 12: 19911, 13: 19931, 14: 19950, 15: 19976, 38: 20161, 35: 20164, 34: 20183, 82: 20223, 81: 20256, 85: 20316, 84: 20335, 83: 20349, 16: 20405, 17: 20416, 88: 20438, 89: 20460, 93: 20519}"
205,"{92: 22681, 91: 22701, 90: 22721, 1: 22792, 86: 22811, 87: 22871, 2: 22904, 3: 22935, 4: 22962, 36: 22965, 37: 23161, 5: 23183, 6: 23209, 7: 23235, 8: 23255, 9: 23314}"
206,"{10: 22261, 11: 22288, 12: 22318, 13: 22341, 14: 22363, 15: 22392, 38: 22561, 35: 22564, 34: 22586, 82: 22632, 81: 22670, 85: 22730, 84: 22751, 83: 22767, 16: 22831, 17: 22844, 88: 22869, 89: 22894, 93: 22953}"
207,"{92: 24481, 91: 24501, 90: 24521, 1: 24592, 86: 24611, 87: 24671, 2: 24704, 3: 24735, 4: 24762, 36: 24765, 37: 24961, 5: 24983, 6: 25009, 7: 25035, 8: 25055, 9: 25114}"
208,"{10: 24061, 11: 24085, 12: 24111, 13: 24131, 14: 24150, 15: 24176, 38: 24361, 35: 24364, 34: 24383, 82: 24423, 81: 24456, 85: 24516, 84: 24535, 83: 24549, 16: 24605, 17: 24616, 88: 24638, 89: 24660, 93: 24719}"
209,"{92: 26281, 91: 26306, 90: 26331, 1: 26423, 86: 26448, 87: 26508, 2: 26550, 3: 26591, 4: 26626, 36: 26629, 37: 26761, 5: 26789, 6: 26823, 7: 26856, 8: 26881, 9: 26940}"
210,"{10: 25921, 11: 25948, 12: 25978, 13: 26001, 14: 26023, 15: 26052, 38: 26221, 35: 26224, 34: 26246, 82: 26292, 81: 26330, 85: 26390, 84: 26411, 83: 26427, 16: 26491, 17: 26504, 88: 26529, 89: 26554, 93: 26613}"
211,"{92: 28081, 91: 28106, 90: 28131, 1: 28223, 86: 28248, 87: 28308, 2: 28350, 3: 28391, 4: 28426, 36: 28429, 37: 28561, 5: 28589, 6: 28623, 7: 28656, 8: 28681, 9: 28740}"
212,"{10: 27721, 11: 27745, 12: 27771, 13: 27791, 14: 27810, 15: 27836, 38: 28021, 35: 28024, 34: 28043, 82: 28083, 81: 28116, 85: 28176, 84: 28195, 83: 28209, 16: 28265, 17: 28276, 88: 28298, 89: 28320, 93: 28379}"
213,"{92: 29881, 91: 29901, 90: 29921, 1: 29992, 86: 30011, 87: 30071, 2: 30104, 3: 30135, 4: 30162, 36: 30165, 37: 30361, 5: 30383, 6: 30409, 7: 30435, 8: 30455, 9: 30514}"
214,"{10: 29521, 11: 29548, 12: 29578, 13: 29601, 14: 29623, 15: 29652, 38: 29821, 35: 29824, 34: 29846, 82: 29892, 81: 29930, 85: 29990, 84: 30011, 83: 30027, 16: 30091, 17: 30104, 88: 30129, 89: 30154, 93: 30213}"
215,"{92: 37861, 91: 37883, 90: 37905, 1: 37985, 86: 38007, 87: 38067, 2: 38104, 3: 38139, 4: 38169, 36: 38172, 37: 38341, 5: 38366, 6: 38396, 7: 38425, 8: 38447, 9: 38506}"
216,"{10: 31321, 11: 31342, 12: 31365, 13: 31383, 14: 31400, 15: 31423, 38: 31621, 35: 31624, 34: 31641, 82: 31676, 81: 31706, 85: 31766, 84: 31783, 83: 31795, 16: 31845, 17: 31855, 88: 31875, 89: 31895, 93: 31954}"
217,"{92: 38761, 91: 38781, 90: 38801, 1: 38872, 86: 38891, 87: 38951, 2: 38984, 3: 39015, 4: 39042, 36: 39045, 37: 39241, 5: 39263, 6: 39289, 7: 39315, 8: 39335, 9: 39394}"
218,"{10: 33121, 11: 33148, 12: 33178, 13: 33201, 14: 33223, 15: 33252, 38: 33421, 35: 33424, 34: 33446, 82: 33492, 81: 33530, 85: 33590, 84: 33611, 83: 33627, 16: 33691, 17: 33704, 88: 33729, 89: 33754, 93: 33813}"
219,"{92: 39241, 91: 39266, 90: 39291, 1: 39383, 86: 39408, 87: 39468, 2: 39510, 3: 39551, 4: 39586, 36: 39589, 37: 39721, 5: 39749, 6: 39783, 7: 39816, 8: 39841, 9: 39900}"
220,"{10: 42181, 11: 42205, 12: 42231, 13: 42251, 14: 42270, 15: 42296, 38: 42481, 35: 42484, 34: 42503, 82: 42543, 81: 42576, 85: 42636, 84: 42655, 83: 42669, 16: 42725, 17: 42736, 88: 42758, 89: 42780, 93: 42839}"
221,"{92: 40561, 91: 40586, 90: 40611, 1: 40703, 86: 40728, 87: 40788, 2: 40830, 3: 40871, 4: 40906, 36: 40909, 37: 41041, 5: 41069, 6: 41103, 7: 41136, 8: 41161, 9: 41220}"
222,"{10: 43561, 11: 43582, 12: 43605, 13: 43623, 14: 43640, 15: 43663, 38: 43861, 35: 43864, 34: 43881, 82: 43916, 81: 43946, 85: 44006, 84: 44023, 83: 44035, 16: 44085, 17: 44095, 88: 44115, 89: 44135, 93: 44194}"
223,"{92: 42361, 91: 42383, 90: 42405, 1: 42485, 86: 42507, 87: 42567, 2: 42604, 3: 42639, 4: 42669, 36: 42672, 37: 42841, 5: 42866, 6: 42896, 7: 42925, 8: 42947, 9: 43006}"
224,"{10: 43981, 11: 44002, 12: 44025, 13: 44043, 14: 44060, 15: 44083, 38: 44281, 35: 44284, 34: 44301, 82: 44336, 81: 44366, 85: 44426, 84: 44443, 83: 44455, 16: 44505, 17: 44515, 88: 44535, 89: 44555, 93: 44614}"
225,"{92: 44161, 91: 44183, 90: 44205, 1: 44285, 86: 44307, 87: 44367, 2: 44404, 3: 44439, 4: 44469, 36: 44472, 37: 44641, 5: 44666, 6: 44696, 7: 44725, 8: 44747, 9: 44806}"
226,"{10: 45361, 11: 45388, 12: 45418, 13: 45441, 14: 45463, 15: 45492, 38: 45661, 35: 45664, 34: 45686, 82: 45732, 81: 45770, 85: 45830, 84: 45851, 83: 45867, 16: 45931, 17: 45944, 88: 45969, 89: 45994, 93: 46053}"
227,"{92: 54961, 91: 54986, 90: 55011, 1: 55103, 86: 55128, 87: 55188, 2: 55230, 3: 55271, 4: 55306, 36: 55309, 37: 55441, 5: 55469, 6: 55503, 7: 55536, 8: 55561, 9: 55620}"
228,"{10: 45781, 11: 45805, 12: 45831, 13: 45851, 14: 45870, 15: 45896, 38: 46081, 35: 46084, 34: 46103, 82: 46143, 81: 46176, 85: 46236, 84: 46255, 83: 46269, 16: 46325, 17: 46336, 88: 46358, 89: 46380, 93: 46439}"
229,"{92: 56761, 91: 56786, 90: 56811, 1: 56903, 86: 56928, 87: 56988, 2: 57030, 3: 57071, 4: 57106, 36: 57109, 37: 57241, 5: 57269, 6: 57303, 7: 57336, 8: 57361, 9: 57420}"
230,"{10: 47581, 11: 47608, 12: 47638, 13: 47661, 14: 47683, 15: 47712, 38: 47881, 35: 47884, 34: 47906, 82: 47952, 81: 47990, 85: 48050, 84: 48071, 83: 48087, 16: 48151, 17: 48164, 88: 48189, 89: 48214, 93: 48273}"
231,"{92: 58621, 91: 58643, 90: 58665, 1: 58745, 86: 58767, 87: 58827, 2: 58864, 3: 58899, 4: 58929, 36: 58932, 37: 59101, 5: 59126, 6: 59156, 7: 59185, 8: 59207, 9: 59266}"
232,"{10: 58381, 11: 58402, 12: 58425, 13: 58443, 14: 58460, 15: 58483, 38: 58681, 35: 58684, 34: 58701, 82: 58736, 81: 58766, 85: 58826, 84: 58843, 83: 58855, 16: 58905, 17: 58915, 88: 58935, 89: 58955, 93: 59014}"
233,"{92: 60721, 91: 60743, 90: 60765, 1: 60845, 86: 60867, 87: 60927, 2: 60964, 3: 60999, 4: 61029, 36: 61032, 37: 61201, 5: 61226, 6: 61256, 7: 61285, 8: 61307, 9: 61366}"
234,"{10: 60181, 11: 60205, 12: 60231, 13: 60251, 14: 60270, 15: 60296, 38: 60481, 35: 60484, 34: 60503, 82: 60543, 81: 60576, 85: 60636, 84: 60655, 83: 60669, 16: 60725, 17: 60736, 88: 60758, 89: 60780, 93: 60839}"
235,"{10: 61981, 11: 62005, 12: 62031, 13: 62051, 14: 62070, 15: 62096, 38: 62281, 35: 62284, 34: 62303, 82: 62343, 81: 62376, 85: 62436, 84: 62455, 83: 62469, 16: 62525, 17: 62536, 88: 62558, 89: 62580, 93: 62639}"
236,"{10: 63781, 11: 63808, 12: 63838, 13: 63861, 14: 63883, 15: 63912, 38: 64081, 35: 64084, 34: 64106, 82: 64152, 81: 64190, 85: 64250, 84: 64271, 83: 64287, 16: 64351, 17: 64364, 88: 64389, 89: 64414, 93: 64473}"
237,"{10: 65581, 11: 65605, 12: 65631, 13: 65651, 14: 65670, 15: 65696, 38: 65881, 35: 65884, 34: 65903, 82: 65943, 81: 65976, 85: 66036, 84: 66055, 83: 66069, 16: 66125, 17: 66136, 88: 66158, 89: 66180, 93: 66239}"
238,"{10: 67441, 11: 67468, 12: 67498, 13: 67521, 14: 67543, 15: 67572, 38: 67741, 35: 67744, 34: 67766, 82: 67812, 81: 67850, 85: 67910, 84: 67931, 83: 67947, 16: 68011, 17: 68024, 88: 68049, 89: 68074, 93: 68133}"
239,"{10: 68401, 11: 68425, 12: 68451, 13: 68471, 14: 68490, 15: 68516, 38: 68701, 35: 68704, 34: 68723, 82: 68763, 81: 68796, 85: 68856, 84: 68875, 83: 68889, 16: 68945, 17: 68956, 88: 68978, 89: 69000, 93: 69059}"
240,"{92: 61, 91: 81, 90: 101, 1: 172, 86: 191, 87: 251, 2: 284, 3: 315, 4: 342, 36: 345, 37: 541, 5: 563, 6: 589, 7: 615, 8: 635, 9: 694}"
241,"{92: 1861, 91: 1883, 90: 1905, 1: 1985, 86: 2007, 87: 2067, 2: 2104, 3: 2139, 4: 2169, 36: 2172, 37: 2341, 5: 2366, 6: 2396, 7: 2425, 8: 2447, 9: 2506}"
242,"{10: 12901, 11: 12928, 12: 12958, 13: 12981, 14: 13003, 15: 13032, 38: 13201, 35: 13204, 34: 13226, 82: 13272, 81: 13310, 85: 13370, 84: 13391, 83: 13407, 16: 13471, 17: 13484, 88: 13509, 89: 13534, 93: 13593}"
243,"{10: 14701, 11: 14728, 12: 14758, 13: 14781, 14: 14803, 15: 14832, 38: 14941, 35: 14944, 34: 14966, 82: 15012, 81: 15050, 85: 15110, 84: 15131, 83: 15147, 16: 15211, 17: 15224, 88: 15249, 89: 15274, 93: 15333}"
244,"{92: 4021, 91: 4046, 90: 4071, 1: 4163, 86: 4188, 87: 4248, 2: 4290, 3: 4331, 4: 4366, 36: 4369, 37: 4501, 5: 4529, 6: 4563, 7: 4596, 8: 4621, 9: 4680}"
245,"{10: 16501, 11: 16528, 12: 16558, 13: 16581, 14: 16603, 15: 16632, 38: 16801, 35: 16804, 34: 16826, 82: 16872, 81: 16910, 85: 16970, 84: 16991, 83: 17007, 16: 17071, 17: 17084, 88: 17109, 89: 17134, 93: 17193}"
246,"{92: 4621, 91: 4646, 90: 4671, 1: 4763, 86: 4788, 87: 4848, 2: 4890, 3: 4931, 4: 4966, 36: 4969, 37: 5101, 5: 5129, 6: 5163, 7: 5196, 8: 5221, 9: 5280}"
247,"{10: 18301, 11: 18322, 12: 18345, 13: 18363, 14: 18380, 15: 18403, 38: 18601, 35: 18604, 34: 18621, 82: 18656, 81: 18686, 85: 18746, 84: 18763, 83: 18775, 16: 18825, 17: 18835, 88: 18855, 89: 18875, 93: 18934}"
248,"{92: 5161, 91: 5186, 90: 5211, 1: 5303, 86: 5328, 87: 5388, 2: 5430, 3: 5471, 4: 5506, 36: 5509, 37: 5641, 5: 5669, 6: 5703, 7: 5736, 8: 5761, 9: 5820}"
249,"{10: 20281, 11: 20308, 12: 20338, 13: 20361, 14: 20383, 15: 20412, 38: 20581, 35: 20584, 34: 20606, 82: 20652, 81: 20690, 85: 20750, 84: 20771, 83: 20787, 16: 20851, 17: 20864, 88: 20889, 89: 20914, 93: 20973}"
250,"{92: 7021, 91: 7046, 90: 7071, 1: 7163, 86: 7188, 87: 7248, 2: 7290, 3: 7331, 4: 7366, 36: 7369, 37: 7501, 5: 7529, 6: 7563, 7: 7596, 8: 7621, 9: 7680}"
251,"{10: 41701, 11: 41728, 12: 41758, 13: 41781, 14: 41803, 15: 41832, 38: 42001, 35: 42004, 34: 42026, 82: 42072, 81: 42110, 85: 42170, 84: 42191, 83: 42207, 16: 42271, 17: 42284, 88: 42309, 89: 42334, 93: 42393}"
252,"{92: 31981, 91: 32001, 90: 32021, 1: 32092, 86: 32111, 87: 32171, 2: 32204, 3: 32235, 4: 32262, 36: 32265, 37: 32461, 5: 32483, 6: 32509, 7: 32535, 8: 32555, 9: 32614}"
253,"{10: 56101, 11: 56125, 12: 56151, 13: 56171, 14: 56190, 15: 56216, 38: 56341, 35: 56344, 34: 56363, 82: 56403, 81: 56436, 85: 56496, 84: 56515, 83: 56529, 16: 56585, 17: 56596, 88: 56618, 89: 56640, 93: 56699}"
254,"{92: 33721, 91: 33746, 90: 33771, 1: 33863, 86: 33888, 87: 33948, 2: 33990, 3: 34031, 4: 34066, 36: 34069, 37: 34201, 5: 34229, 6: 34263, 7: 34296, 8: 34321, 9: 34380}"
255,"{10: 57841, 11: 57865, 12: 57891, 13: 57911, 14: 57930, 15: 57956, 38: 58141, 35: 58144, 34: 58163, 82: 58203, 81: 58236, 85: 58296, 84: 58315, 83: 58329, 16: 58385, 17: 58396, 88: 58418, 89: 58440, 93: 58499}"
256,"{92: 35641, 91: 35663, 90: 35685, 1: 35765, 86: 35787, 87: 35847, 2: 35884, 3: 35919, 4: 35949, 36: 35952, 37: 36121, 5: 36146, 6: 36176, 7: 36205, 8: 36227, 9: 36286}"
257,"{10: 59641, 11: 59668, 12: 59698, 13: 59721, 14: 59743, 15: 59772, 38: 59941, 35: 59944, 34: 59966, 82: 60012, 81: 60050, 85: 60110, 84: 60131, 83: 60147, 16: 60211, 17: 60224, 88: 60249, 89: 60274, 93: 60333}"
258,"{92: 41041, 91: 41063, 90: 41085, 1: 41165, 86: 41187, 87: 41247, 2: 41284, 3: 41319, 4: 41349, 36: 41352, 37: 41521, 5: 41546, 6: 41576, 7: 41605, 8: 41627, 9: 41686}"
259,"{10: 61441, 11: 61468, 12: 61498, 13: 61521, 14: 61543, 15: 61572, 38: 61741, 35: 61744, 34: 61766, 82: 61812, 81: 61850, 85: 61910, 84: 61931, 83: 61947, 16: 62011, 17: 62024, 88: 62049, 89: 62074, 93: 62133}"
260,"{92: 46441, 91: 46466, 90: 46491, 1: 46583, 86: 46608, 87: 46668, 2: 46710, 3: 46751, 4: 46786, 36: 46789, 37: 46921, 5: 46949, 6: 46983, 7: 47016, 8: 47041, 9: 47100}"
261,"{10: 69661, 11: 69685, 12: 69711, 13: 69731, 14: 69750, 15: 69776, 38: 69961, 35: 69964, 34: 69983, 82: 70023, 81: 70056, 85: 70116, 84: 70135, 83: 70149, 16: 70205, 17: 70216, 88: 70238, 89: 70260, 93: 70319}"
262,"{92: 48241, 91: 48261, 90: 48281, 1: 48352, 86: 48371, 87: 48431, 2: 48464, 3: 48495, 4: 48522, 36: 48525, 37: 48721, 5: 48743, 6: 48769, 7: 48795, 8: 48815, 9: 48874}"
263,"{92: 50041, 91: 50063, 90: 50085, 1: 50165, 86: 50187, 87: 50247, 2: 50284, 3: 50319, 4: 50349, 36: 50352, 37: 50521, 5: 50546, 6: 50576, 7: 50605, 8: 50627, 9: 50686}"
264,"{92: 51841, 91: 51866, 90: 51891, 1: 51983, 86: 52008, 87: 52068, 2: 52110, 3: 52151, 4: 52186, 36: 52189, 37: 52321, 5: 52349, 6: 52383, 7: 52416, 8: 52441, 9: 52500}"
265,"{92: 57241, 91: 57266, 90: 57291, 1: 57383, 86: 57408, 87: 57468, 2: 57510, 3: 57551, 4: 57586, 36: 57589, 37: 57721, 5: 57749, 6: 57783, 7: 57816, 8: 57841, 9: 57900}"
266,"{92: 2461, 91: 2486, 90: 2511, 1: 2603, 86: 2628, 87: 2688, 2: 2730, 3: 2771, 4: 2806, 36: 2809, 37: 2941, 5: 2969, 6: 3003, 7: 3036, 8: 3061, 9: 3120}"
267,"{92: 6301, 91: 6326, 90: 6351, 1: 6443, 86: 6468, 87: 6528, 2: 6570, 3: 6611, 4: 6646, 36: 6649, 37: 6781, 5: 6809, 6: 6843, 7: 6876, 8: 6901, 9: 6960}"
268,"{10: 4141, 11: 4165, 12: 4191, 13: 4211, 14: 4230, 15: 4256, 38: 4441, 35: 4444, 34: 4463, 82: 4503, 81: 4536, 85: 4596, 84: 4615, 83: 4629, 16: 4685, 17: 4696, 88: 4718, 89: 4740, 93: 4799}"
269,"{92: 8161, 91: 8181, 90: 8201, 1: 8272, 86: 8291, 87: 8351, 2: 8384, 3: 8415, 4: 8442, 36: 8445, 37: 8641, 5: 8663, 6: 8689, 7: 8715, 8: 8735, 9: 8794}"
270,"{10: 6001, 11: 6028, 12: 6058, 13: 6081, 14: 6103, 15: 6132, 38: 6301, 35: 6304, 34: 6326, 82: 6372, 81: 6410, 85: 6470, 84: 6491, 83: 6507, 16: 6571, 17: 6584, 88: 6609, 89: 6634, 93: 6693}"
271,"{92: 9841, 91: 9866, 90: 9891, 1: 9983, 86: 10008, 87: 10068, 2: 10110, 3: 10151, 4: 10186, 36: 10189, 37: 10321, 5: 10349, 6: 10383, 7: 10416, 8: 10441, 9: 10500}"
272,"{10: 7861, 11: 7888, 12: 7918, 13: 7941, 14: 7963, 15: 7992, 38: 8161, 35: 8164, 34: 8186, 82: 8232, 81: 8270, 85: 8330, 84: 8351, 83: 8367, 16: 8431, 17: 8444, 88: 8469, 89: 8494, 93: 8553}"
273,"{92: 11701, 91: 11721, 90: 11741, 1: 11812, 86: 11831, 87: 11891, 2: 11924, 3: 11955, 4: 11982, 36: 11985, 37: 12181, 5: 12203, 6: 12229, 7: 12255, 8: 12275, 9: 12334}"
274,"{10: 9661, 11: 9682, 12: 9705, 13: 9723, 14: 9740, 15: 9763, 38: 9961, 35: 9964, 34: 9981, 82: 10016, 81: 10046, 85: 10106, 84: 10123, 83: 10135, 16: 10185, 17: 10195, 88: 10215, 89: 10235, 93: 10294}"
275,"{92: 13801, 91: 13821, 90: 13841, 1: 13912, 86: 13931, 87: 13991, 2: 14024, 3: 14055, 4: 14082, 36: 14085, 37: 14281, 5: 14303, 6: 14329, 7: 14355, 8: 14375, 9: 14434}"
276,"{10: 11341, 11: 11368, 12: 11398, 13: 11421, 14: 11443, 15: 11472, 38: 11641, 35: 11644, 34: 11666, 82: 11712, 81: 11750, 85: 11810, 84: 11831, 83: 11847, 16: 11911, 17: 11924, 88: 11949, 89: 11974, 93: 12033}"
277,"{92: 15421, 91: 15446, 90: 15471, 1: 15563, 86: 15588, 87: 15648, 2: 15690, 3: 15731, 4: 15766, 36: 15769, 37: 15901, 5: 15929, 6: 15963, 7: 15996, 8: 16021, 9: 16080}"
278,"{10: 13261, 11: 13288, 12: 13318, 13: 13341, 14: 13363, 15: 13392, 38: 13561, 35: 13564, 34: 13586, 82: 13632, 81: 13670, 85: 13730, 84: 13751, 83: 13767, 16: 13831, 17: 13844, 88: 13869, 89: 13894, 93: 13953}"
279,"{92: 17161, 91: 17183, 90: 17205, 1: 17285, 86: 17307, 87: 17367, 2: 17404, 3: 17439, 4: 17469, 36: 17472, 37: 17641, 5: 17666, 6: 17696, 7: 17725, 8: 17747, 9: 17806}"
280,"{10: 14401, 11: 14428, 12: 14458, 13: 14481, 14: 14503, 15: 14532, 38: 14701, 35: 14704, 34: 14726, 82: 14772, 81: 14810, 85: 14870, 84: 14891, 83: 14907, 16: 14971, 17: 14984, 88: 15009, 89: 15034, 93: 15093}"
281,"{92: 19561, 91: 19586, 90: 19611, 1: 19703, 86: 19728, 87: 19788, 2: 19830, 3: 19871, 4: 19906, 36: 19909, 37: 20101, 5: 20129, 6: 20163, 7: 20196, 8: 20221, 9: 20280}"
282,"{10: 15961, 11: 15988, 12: 16018, 13: 16041, 14: 16063, 15: 16092, 38: 16261, 35: 16264, 34: 16286, 82: 16332, 81: 16370, 85: 16430, 84: 16451, 83: 16467, 16: 16531, 17: 16544, 88: 16569, 89: 16594, 93: 16653}"
283,"{92: 21481, 91: 21506, 90: 21531, 1: 21623, 86: 21648, 87: 21708, 2: 21750, 3: 21791, 4: 21826, 36: 21829, 37: 21961, 5: 21989, 6: 22023, 7: 22056, 8: 22081, 9: 22140}"
284,"{10: 17761, 11: 17785, 12: 17811, 13: 17831, 14: 17850, 15: 17876, 38: 18061, 35: 18064, 34: 18083, 82: 18123, 81: 18156, 85: 18216, 84: 18235, 83: 18249, 16: 18305, 17: 18316, 88: 18338, 89: 18360, 93: 18419}"
285,"{92: 23281, 91: 23301, 90: 23321, 1: 23392, 86: 23411, 87: 23471, 2: 23504, 3: 23535, 4: 23562, 36: 23565, 37: 23761, 5: 23783, 6: 23809, 7: 23835, 8: 23855, 9: 23914}"
286,"{10: 19561, 11: 19588, 12: 19618, 13: 19641, 14: 19663, 15: 19692, 38: 19861, 35: 19864, 34: 19886, 82: 19932, 81: 19970, 85: 20030, 84: 20051, 83: 20067, 16: 20131, 17: 20144, 88: 20169, 89: 20194, 93: 20253}"
287,"{92: 25081, 91: 25106, 90: 25131, 1: 25223, 86: 25248, 87: 25308, 2: 25350, 3: 25391, 4: 25426, 36: 25429, 37: 25561, 5: 25589, 6: 25623, 7: 25656, 8: 25681, 9: 25740}"
288,"{10: 21661, 11: 21688, 12: 21718, 13: 21741, 14: 21763, 15: 21792, 38: 21961, 35: 21964, 34: 21986, 82: 22032, 81: 22070, 85: 22130, 84: 22151, 83: 22167, 16: 22231, 17: 22244, 88: 22269, 89: 22294, 93: 22353}"
289,"{92: 26881, 91: 26906, 90: 26931, 1: 27023, 86: 27048, 87: 27108, 2: 27150, 3: 27191, 4: 27226, 36: 27229, 37: 27361, 5: 27389, 6: 27423, 7: 27456, 8: 27481, 9: 27540}"
290,"{10: 23401, 11: 23425, 12: 23451, 13: 23471, 14: 23490, 15: 23516, 38: 23701, 35: 23704, 34: 23723, 82: 23763, 81: 23796, 85: 23856, 84: 23875, 83: 23889, 16: 23945, 17: 23956, 88: 23978, 89: 24000, 93: 24059}"
291,"{92: 28621, 91: 28646, 90: 28671, 1: 28763, 86: 28788, 87: 28848, 2: 28890, 3: 28931, 4: 28966, 36: 28969, 37: 29161, 5: 29189, 6: 29223, 7: 29256, 8: 29281, 9: 29340}"
292,"{10: 25261, 11: 25288, 12: 25318, 13: 25341, 14: 25363, 15: 25392, 38: 25561, 35: 25564, 34: 25586, 82: 25632, 81: 25670, 85: 25730, 84: 25751, 83: 25767, 16: 25831, 17: 25844, 88: 25869, 89: 25894, 93: 25953}"
293,"{92: 30541, 91: 30563, 90: 30585, 1: 30665, 86: 30687, 87: 30747, 2: 30784, 3: 30819, 4: 30849, 36: 30852, 37: 31021, 5: 31046, 6: 31076, 7: 31105, 8: 31127, 9: 31186}"
294,"{10: 27001, 11: 27028, 12: 27058, 13: 27081, 14: 27103, 15: 27132, 38: 27301, 35: 27304, 34: 27326, 82: 27372, 81: 27410, 85: 27470, 84: 27491, 83: 27507, 16: 27571, 17: 27584, 88: 27609, 89: 27634, 93: 27693}"
295,"{92: 32461, 91: 32483, 90: 32505, 1: 32585, 86: 32607, 87: 32667, 2: 32704, 3: 32739, 4: 32769, 36: 32772, 37: 32941, 5: 32966, 6: 32996, 7: 33025, 8: 33047, 9: 33106}"
296,"{10: 28861, 11: 28885, 12: 28911, 13: 28931, 14: 28950, 15: 28976, 38: 29161, 35: 29164, 34: 29183, 82: 29223, 81: 29256, 85: 29316, 84: 29335, 83: 29349, 16: 29405, 17: 29416, 88: 29438, 89: 29460, 93: 29519}"
297,"{92: 34201, 91: 34221, 90: 34241, 1: 34312, 86: 34331, 87: 34391, 2: 34424, 3: 34455, 4: 34482, 36: 34485, 37: 34681, 5: 34703, 6: 34729, 7: 34755, 8: 34775, 9: 34834}"
298,"{10: 30541, 11: 30568, 12: 30598, 13: 30621, 14: 30643, 15: 30672, 38: 30841, 35: 30844, 34: 30866, 82: 30912, 81: 30950, 85: 31010, 84: 31031, 83: 31047, 16: 31111, 17: 31124, 88: 31149, 89: 31174, 93: 31233}"
299,"{92: 36001, 91: 36026, 90: 36051, 1: 36143, 86: 36168, 87: 36228, 2: 36270, 3: 36311, 4: 36346, 36: 36349, 37: 36481, 5: 36509, 6: 36543, 7: 36576, 8: 36601, 9: 36660}"
300,"{10: 32461, 11: 32488, 12: 32518, 13: 32541, 14: 32563, 15: 32592, 38: 32761, 35: 32764, 34: 32786, 82: 32832, 81: 32870, 85: 32930, 84: 32951, 83: 32967, 16: 33031, 17: 33044, 88: 33069, 89: 33094, 93: 33153}"
301,"{92: 37381, 91: 37401, 90: 37421, 1: 37492, 86: 37511, 87: 37571, 2: 37604, 3: 37635, 4: 37662, 36: 37665, 37: 37921, 5: 37943, 6: 37969, 7: 37995, 8: 38015, 9: 38074}"
302,"{10: 34081, 11: 34102, 12: 34125, 13: 34143, 14: 34160, 15: 34183, 38: 34381, 35: 34384, 34: 34401, 82: 34436, 81: 34466, 85: 34526, 84: 34543, 83: 34555, 16: 34605, 17: 34615, 88: 34635, 89: 34655, 93: 34714}"
303,"{92: 39661, 91: 39686, 90: 39711, 1: 39803, 86: 39828, 87: 39888, 2: 39930, 3: 39971, 4: 40006, 36: 40009, 37: 40141, 5: 40169, 6: 40203, 7: 40236, 8: 40261, 9: 40320}"
304,"{10: 35881, 11: 35908, 12: 35938, 13: 35961, 14: 35983, 15: 36012, 38: 36181, 35: 36184, 34: 36206, 82: 36252, 81: 36290, 85: 36350, 84: 36371, 83: 36387, 16: 36451, 17: 36464, 88: 36489, 89: 36514, 93: 36573}"
305,"{92: 41521, 91: 41546, 90: 41571, 1: 41663, 86: 41688, 87: 41748, 2: 41790, 3: 41831, 4: 41866, 36: 41869, 37: 42001, 5: 42029, 6: 42063, 7: 42096, 8: 42121, 9: 42180}"
306,"{10: 37681, 11: 37708, 12: 37738, 13: 37761, 14: 37783, 15: 37812, 38: 37981, 35: 37984, 34: 38006, 82: 38052, 81: 38090, 85: 38150, 84: 38171, 83: 38187, 16: 38251, 17: 38264, 88: 38289, 89: 38314, 93: 38373}"
307,"{92: 43261, 91: 43286, 90: 43311, 1: 43403, 86: 43428, 87: 43488, 2: 43530, 3: 43571, 4: 43606, 36: 43609, 37: 43741, 5: 43769, 6: 43803, 7: 43836, 8: 43861, 9: 43920}"
308,"{10: 39481, 11: 39505, 12: 39531, 13: 39551, 14: 39570, 15: 39596, 38: 39781, 35: 39784, 34: 39803, 82: 39843, 81: 39876, 85: 39936, 84: 39955, 83: 39969, 16: 40025, 17: 40036, 88: 40058, 89: 40080, 93: 40139}"
309,"{92: 45001, 91: 45021, 90: 45041, 1: 45112, 86: 45131, 87: 45191, 2: 45224, 3: 45255, 4: 45282, 36: 45285, 37: 45481, 5: 45503, 6: 45529, 7: 45555, 8: 45575, 9: 45634}"
