,begin_schedule
200,"{10: 17100, 11: 17160, 12: 17187, 13: 17217, 14: 17240, 15: 17262, 38: 17291, 35: 17460, 34: 17463, 82: 17485, 81: 17531, 85: 17569, 84: 17629, 83: 17650, 16: 17666, 17: 17730, 88: 17743, 89: 17768, 93: 17793}"
201,"{92: 19020, 91: 19080, 90: 19105, 1: 19130, 86: 19222, 87: 19247, 2: 19307, 3: 19349, 4: 19390, 36: 19425, 37: 19428, 5: 19560, 6: 19588, 7: 19622, 8: 19655, 9: 19680}"
202,"{92: 19500, 91: 19560, 90: 19585, 1: 19610, 86: 19702, 87: 19727, 2: 19787, 3: 19829, 4: 19870, 36: 19905, 37: 19908, 5: 20040, 6: 20068, 7: 20102, 8: 20135, 9: 20160}"
203,"{92: 20820, 91: 20880, 90: 20905, 1: 20930, 86: 21022, 87: 21047, 2: 21107, 3: 21149, 4: 21190, 36: 21225, 37: 21228, 5: 21360, 6: 21388, 7: 21422, 8: 21455, 9: 21480}"
204,"{10: 19800, 11: 19860, 12: 19884, 13: 19910, 14: 19930, 15: 19949, 38: 19975, 35: 20160, 34: 20163, 82: 20182, 81: 20222, 85: 20255, 84: 20315, 83: 20334, 16: 20348, 17: 20404, 88: 20415, 89: 20437, 93: 20459}"
205,"{92: 22620, 91: 22680, 90: 22700, 1: 22720, 86: 22791, 87: 22810, 2: 22870, 3: 22903, 4: 22934, 36: 22961, 37: 22964, 5: 23160, 6: 23182, 7: 23208, 8: 23234, 9: 23254}"
206,"{10: 22200, 11: 22260, 12: 22287, 13: 22317, 14: 22340, 15: 22362, 38: 22391, 35: 22560, 34: 22563, 82: 22585, 81: 22631, 85: 22669, 84: 22729, 83: 22750, 16: 22766, 17: 22830, 88: 22843, 89: 22868, 93: 22893}"
207,"{92: 24420, 91: 24480, 90: 24500, 1: 24520, 86: 24591, 87: 24610, 2: 24670, 3: 24703, 4: 24734, 36: 24761, 37: 24764, 5: 24960, 6: 24982, 7: 25008, 8: 25034, 9: 25054}"
208,"{10: 24000, 11: 24060, 12: 24084, 13: 24110, 14: 24130, 15: 24149, 38: 24175, 35: 24360, 34: 24363, 82: 24382, 81: 24422, 85: 24455, 84: 24515, 83: 24534, 16: 24548, 17: 24604, 88: 24615, 89: 24637, 93: 24659}"
209,"{92: 26220, 91: 26280, 90: 26305, 1: 26330, 86: 26422, 87: 26447, 2: 26507, 3: 26549, 4: 26590, 36: 26625, 37: 26628, 5: 26760, 6: 26788, 7: 26822, 8: 26855, 9: 26880}"
210,"{10: 25860, 11: 25920, 12: 25947, 13: 25977, 14: 26000, 15: 26022, 38: 26051, 35: 26220, 34: 26223, 82: 26245, 81: 26291, 85: 26329, 84: 26389, 83: 26410, 16: 26426, 17: 26490, 88: 26503, 89: 26528, 93: 26553}"
211,"{92: 28020, 91: 28080, 90: 28105, 1: 28130, 86: 28222, 87: 28247, 2: 28307, 3: 28349, 4: 28390, 36: 28425, 37: 28428, 5: 28560, 6: 28588, 7: 28622, 8: 28655, 9: 28680}"
212,"{10: 27660, 11: 27720, 12: 27744, 13: 27770, 14: 27790, 15: 27809, 38: 27835, 35: 28020, 34: 28023, 82: 28042, 81: 28082, 85: 28115, 84: 28175, 83: 28194, 16: 28208, 17: 28264, 88: 28275, 89: 28297, 93: 28319}"
213,"{92: 29820, 91: 29880, 90: 29900, 1: 29920, 86: 29991, 87: 30010, 2: 30070, 3: 30103, 4: 30134, 36: 30161, 37: 30164, 5: 30360, 6: 30382, 7: 30408, 8: 30434, 9: 30454}"
214,"{10: 29460, 11: 29520, 12: 29547, 13: 29577, 14: 29600, 15: 29622, 38: 29651, 35: 29820, 34: 29823, 82: 29845, 81: 29891, 85: 29929, 84: 29989, 83: 30010, 16: 30026, 17: 30090, 88: 30103, 89: 30128, 93: 30153}"
215,"{92: 37800, 91: 37860, 90: 37882, 1: 37904, 86: 37984, 87: 38006, 2: 38066, 3: 38103, 4: 38138, 36: 38168, 37: 38171, 5: 38340, 6: 38365, 7: 38395, 8: 38424, 9: 38446}"
216,"{10: 31260, 11: 31320, 12: 31341, 13: 31364, 14: 31382, 15: 31399, 38: 31422, 35: 31620, 34: 31623, 82: 31640, 81: 31675, 85: 31705, 84: 31765, 83: 31782, 16: 31794, 17: 31844, 88: 31854, 89: 31874, 93: 31894}"
217,"{92: 38700, 91: 38760, 90: 38780, 1: 38800, 86: 38871, 87: 38890, 2: 38950, 3: 38983, 4: 39014, 36: 39041, 37: 39044, 5: 39240, 6: 39262, 7: 39288, 8: 39314, 9: 39334}"
218,"{10: 33060, 11: 33120, 12: 33147, 13: 33177, 14: 33200, 15: 33222, 38: 33251, 35: 33420, 34: 33423, 82: 33445, 81: 33491, 85: 33529, 84: 33589, 83: 33610, 16: 33626, 17: 33690, 88: 33703, 89: 33728, 93: 33753}"
219,"{92: 39180, 91: 39240, 90: 39265, 1: 39290, 86: 39382, 87: 39407, 2: 39467, 3: 39509, 4: 39550, 36: 39585, 37: 39588, 5: 39720, 6: 39748, 7: 39782, 8: 39815, 9: 39840}"
220,"{10: 42120, 11: 42180, 12: 42204, 13: 42230, 14: 42250, 15: 42269, 38: 42295, 35: 42480, 34: 42483, 82: 42502, 81: 42542, 85: 42575, 84: 42635, 83: 42654, 16: 42668, 17: 42724, 88: 42735, 89: 42757, 93: 42779}"
221,"{92: 40500, 91: 40560, 90: 40585, 1: 40610, 86: 40702, 87: 40727, 2: 40787, 3: 40829, 4: 40870, 36: 40905, 37: 40908, 5: 41040, 6: 41068, 7: 41102, 8: 41135, 9: 41160}"
222,"{10: 43500, 11: 43560, 12: 43581, 13: 43604, 14: 43622, 15: 43639, 38: 43662, 35: 43860, 34: 43863, 82: 43880, 81: 43915, 85: 43945, 84: 44005, 83: 44022, 16: 44034, 17: 44084, 88: 44094, 89: 44114, 93: 44134}"
223,"{92: 42300, 91: 42360, 90: 42382, 1: 42404, 86: 42484, 87: 42506, 2: 42566, 3: 42603, 4: 42638, 36: 42668, 37: 42671, 5: 42840, 6: 42865, 7: 42895, 8: 42924, 9: 42946}"
224,"{10: 43920, 11: 43980, 12: 44001, 13: 44024, 14: 44042, 15: 44059, 38: 44082, 35: 44280, 34: 44283, 82: 44300, 81: 44335, 85: 44365, 84: 44425, 83: 44442, 16: 44454, 17: 44504, 88: 44514, 89: 44534, 93: 44554}"
225,"{92: 44100, 91: 44160, 90: 44182, 1: 44204, 86: 44284, 87: 44306, 2: 44366, 3: 44403, 4: 44438, 36: 44468, 37: 44471, 5: 44640, 6: 44665, 7: 44695, 8: 44724, 9: 44746}"
226,"{10: 45300, 11: 45360, 12: 45387, 13: 45417, 14: 45440, 15: 45462, 38: 45491, 35: 45660, 34: 45663, 82: 45685, 81: 45731, 85: 45769, 84: 45829, 83: 45850, 16: 45866, 17: 45930, 88: 45943, 89: 45968, 93: 45993}"
227,"{92: 54900, 91: 54960, 90: 54985, 1: 55010, 86: 55102, 87: 55127, 2: 55187, 3: 55229, 4: 55270, 36: 55305, 37: 55308, 5: 55440, 6: 55468, 7: 55502, 8: 55535, 9: 55560}"
228,"{10: 45720, 11: 45780, 12: 45804, 13: 45830, 14: 45850, 15: 45869, 38: 45895, 35: 46080, 34: 46083, 82: 46102, 81: 46142, 85: 46175, 84: 46235, 83: 46254, 16: 46268, 17: 46324, 88: 46335, 89: 46357, 93: 46379}"
229,"{92: 56700, 91: 56760, 90: 56785, 1: 56810, 86: 56902, 87: 56927, 2: 56987, 3: 57029, 4: 57070, 36: 57105, 37: 57108, 5: 57240, 6: 57268, 7: 57302, 8: 57335, 9: 57360}"
230,"{10: 47520, 11: 47580, 12: 47607, 13: 47637, 14: 47660, 15: 47682, 38: 47711, 35: 47880, 34: 47883, 82: 47905, 81: 47951, 85: 47989, 84: 48049, 83: 48070, 16: 48086, 17: 48150, 88: 48163, 89: 48188, 93: 48213}"
231,"{92: 58560, 91: 58620, 90: 58642, 1: 58664, 86: 58744, 87: 58766, 2: 58826, 3: 58863, 4: 58898, 36: 58928, 37: 58931, 5: 59100, 6: 59125, 7: 59155, 8: 59184, 9: 59206}"
232,"{10: 58320, 11: 58380, 12: 58401, 13: 58424, 14: 58442, 15: 58459, 38: 58482, 35: 58680, 34: 58683, 82: 58700, 81: 58735, 85: 58765, 84: 58825, 83: 58842, 16: 58854, 17: 58904, 88: 58914, 89: 58934, 93: 58954}"
233,"{92: 60660, 91: 60720, 90: 60742, 1: 60764, 86: 60844, 87: 60866, 2: 60926, 3: 60963, 4: 60998, 36: 61028, 37: 61031, 5: 61200, 6: 61225, 7: 61255, 8: 61284, 9: 61306}"
234,"{10: 60120, 11: 60180, 12: 60204, 13: 60230, 14: 60250, 15: 60269, 38: 60295, 35: 60480, 34: 60483, 82: 60502, 81: 60542, 85: 60575, 84: 60635, 83: 60654, 16: 60668, 17: 60724, 88: 60735, 89: 60757, 93: 60779}"
235,"{10: 61920, 11: 61980, 12: 62004, 13: 62030, 14: 62050, 15: 62069, 38: 62095, 35: 62280, 34: 62283, 82: 62302, 81: 62342, 85: 62375, 84: 62435, 83: 62454, 16: 62468, 17: 62524, 88: 62535, 89: 62557, 93: 62579}"
236,"{10: 63720, 11: 63780, 12: 63807, 13: 63837, 14: 63860, 15: 63882, 38: 63911, 35: 64080, 34: 64083, 82: 64105, 81: 64151, 85: 64189, 84: 64249, 83: 64270, 16: 64286, 17: 64350, 88: 64363, 89: 64388, 93: 64413}"
237,"{10: 65520, 11: 65580, 12: 65604, 13: 65630, 14: 65650, 15: 65669, 38: 65695, 35: 65880, 34: 65883, 82: 65902, 81: 65942, 85: 65975, 84: 66035, 83: 66054, 16: 66068, 17: 66124, 88: 66135, 89: 66157, 93: 66179}"
238,"{10: 67380, 11: 67440, 12: 67467, 13: 67497, 14: 67520, 15: 67542, 38: 67571, 35: 67740, 34: 67743, 82: 67765, 81: 67811, 85: 67849, 84: 67909, 83: 67930, 16: 67946, 17: 68010, 88: 68023, 89: 68048, 93: 68073}"
239,"{10: 68340, 11: 68400, 12: 68424, 13: 68450, 14: 68470, 15: 68489, 38: 68515, 35: 68700, 34: 68703, 82: 68722, 81: 68762, 85: 68795, 84: 68855, 83: 68874, 16: 68888, 17: 68944, 88: 68955, 89: 68977, 93: 68999}"
240,"{92: 0, 91: 60, 90: 80, 1: 100, 86: 171, 87: 190, 2: 250, 3: 283, 4: 314, 36: 341, 37: 344, 5: 540, 6: 562, 7: 588, 8: 614, 9: 634}"
241,"{92: 1800, 91: 1860, 90: 1882, 1: 1904, 86: 1984, 87: 2006, 2: 2066, 3: 2103, 4: 2138, 36: 2168, 37: 2171, 5: 2340, 6: 2365, 7: 2395, 8: 2424, 9: 2446}"
242,"{10: 12840, 11: 12900, 12: 12927, 13: 12957, 14: 12980, 15: 13002, 38: 13031, 35: 13200, 34: 13203, 82: 13225, 81: 13271, 85: 13309, 84: 13369, 83: 13390, 16: 13406, 17: 13470, 88: 13483, 89: 13508, 93: 13533}"
243,"{10: 14640, 11: 14700, 12: 14727, 13: 14757, 14: 14780, 15: 14802, 38: 14831, 35: 14940, 34: 14943, 82: 14965, 81: 15011, 85: 15049, 84: 15109, 83: 15130, 16: 15146, 17: 15210, 88: 15223, 89: 15248, 93: 15273}"
244,"{92: 3960, 91: 4020, 90: 4045, 1: 4070, 86: 4162, 87: 4187, 2: 4247, 3: 4289, 4: 4330, 36: 4365, 37: 4368, 5: 4500, 6: 4528, 7: 4562, 8: 4595, 9: 4620}"
245,"{10: 16440, 11: 16500, 12: 16527, 13: 16557, 14: 16580, 15: 16602, 38: 16631, 35: 16800, 34: 16803, 82: 16825, 81: 16871, 85: 16909, 84: 16969, 83: 16990, 16: 17006, 17: 17070, 88: 17083, 89: 17108, 93: 17133}"
246,"{92: 4560, 91: 4620, 90: 4645, 1: 4670, 86: 4762, 87: 4787, 2: 4847, 3: 4889, 4: 4930, 36: 4965, 37: 4968, 5: 5100, 6: 5128, 7: 5162, 8: 5195, 9: 5220}"
247,"{10: 18240, 11: 18300, 12: 18321, 13: 18344, 14: 18362, 15: 18379, 38: 18402, 35: 18600, 34: 18603, 82: 18620, 81: 18655, 85: 18685, 84: 18745, 83: 18762, 16: 18774, 17: 18824, 88: 18834, 89: 18854, 93: 18874}"
248,"{92: 5100, 91: 5160, 90: 5185, 1: 5210, 86: 5302, 87: 5327, 2: 5387, 3: 5429, 4: 5470, 36: 5505, 37: 5508, 5: 5640, 6: 5668, 7: 5702, 8: 5735, 9: 5760}"
249,"{10: 20220, 11: 20280, 12: 20307, 13: 20337, 14: 20360, 15: 20382, 38: 20411, 35: 20580, 34: 20583, 82: 20605, 81: 20651, 85: 20689, 84: 20749, 83: 20770, 16: 20786, 17: 20850, 88: 20863, 89: 20888, 93: 20913}"
250,"{92: 6960, 91: 7020, 90: 7045, 1: 7070, 86: 7162, 87: 7187, 2: 7247, 3: 7289, 4: 7330, 36: 7365, 37: 7368, 5: 7500, 6: 7528, 7: 7562, 8: 7595, 9: 7620}"
251,"{10: 41640, 11: 41700, 12: 41727, 13: 41757, 14: 41780, 15: 41802, 38: 41831, 35: 42000, 34: 42003, 82: 42025, 81: 42071, 85: 42109, 84: 42169, 83: 42190, 16: 42206, 17: 42270, 88: 42283, 89: 42308, 93: 42333}"
252,"{92: 31920, 91: 31980, 90: 32000, 1: 32020, 86: 32091, 87: 32110, 2: 32170, 3: 32203, 4: 32234, 36: 32261, 37: 32264, 5: 32460, 6: 32482, 7: 32508, 8: 32534, 9: 32554}"
253,"{10: 56040, 11: 56100, 12: 56124, 13: 56150, 14: 56170, 15: 56189, 38: 56215, 35: 56340, 34: 56343, 82: 56362, 81: 56402, 85: 56435, 84: 56495, 83: 56514, 16: 56528, 17: 56584, 88: 56595, 89: 56617, 93: 56639}"
254,"{92: 33660, 91: 33720, 90: 33745, 1: 33770, 86: 33862, 87: 33887, 2: 33947, 3: 33989, 4: 34030, 36: 34065, 37: 34068, 5: 34200, 6: 34228, 7: 34262, 8: 34295, 9: 34320}"
255,"{10: 57780, 11: 57840, 12: 57864, 13: 57890, 14: 57910, 15: 57929, 38: 57955, 35: 58140, 34: 58143, 82: 58162, 81: 58202, 85: 58235, 84: 58295, 83: 58314, 16: 58328, 17: 58384, 88: 58395, 89: 58417, 93: 58439}"
256,"{92: 35580, 91: 35640, 90: 35662, 1: 35684, 86: 35764, 87: 35786, 2: 35846, 3: 35883, 4: 35918, 36: 35948, 37: 35951, 5: 36120, 6: 36145, 7: 36175, 8: 36204, 9: 36226}"
257,"{10: 59580, 11: 59640, 12: 59667, 13: 59697, 14: 59720, 15: 59742, 38: 59771, 35: 59940, 34: 59943, 82: 59965, 81: 60011, 85: 60049, 84: 60109, 83: 60130, 16: 60146, 17: 60210, 88: 60223, 89: 60248, 93: 60273}"
258,"{92: 40980, 91: 41040, 90: 41062, 1: 41084, 86: 41164, 87: 41186, 2: 41246, 3: 41283, 4: 41318, 36: 41348, 37: 41351, 5: 41520, 6: 41545, 7: 41575, 8: 41604, 9: 41626}"
259,"{10: 61380, 11: 61440, 12: 61467, 13: 61497, 14: 61520, 15: 61542, 38: 61571, 35: 61740, 34: 61743, 82: 61765, 81: 61811, 85: 61849, 84: 61909, 83: 61930, 16: 61946, 17: 62010, 88: 62023, 89: 62048, 93: 62073}"
260,"{92: 46380, 91: 46440, 90: 46465, 1: 46490, 86: 46582, 87: 46607, 2: 46667, 3: 46709, 4: 46750, 36: 46785, 37: 46788, 5: 46920, 6: 46948, 7: 46982, 8: 47015, 9: 47040}"
261,"{10: 69600, 11: 69660, 12: 69684, 13: 69710, 14: 69730, 15: 69749, 38: 69775, 35: 69960, 34: 69963, 82: 69982, 81: 70022, 85: 70055, 84: 70115, 83: 70134, 16: 70148, 17: 70204, 88: 70215, 89: 70237, 93: 70259}"
262,"{92: 48180, 91: 48240, 90: 48260, 1: 48280, 86: 48351, 87: 48370, 2: 48430, 3: 48463, 4: 48494, 36: 48521, 37: 48524, 5: 48720, 6: 48742, 7: 48768, 8: 48794, 9: 48814}"
263,"{92: 49980, 91: 50040, 90: 50062, 1: 50084, 86: 50164, 87: 50186, 2: 50246, 3: 50283, 4: 50318, 36: 50348, 37: 50351, 5: 50520, 6: 50545, 7: 50575, 8: 50604, 9: 50626}"
264,"{92: 51780, 91: 51840, 90: 51865, 1: 51890, 86: 51982, 87: 52007, 2: 52067, 3: 52109, 4: 52150, 36: 52185, 37: 52188, 5: 52320, 6: 52348, 7: 52382, 8: 52415, 9: 52440}"
265,"{92: 57180, 91: 57240, 90: 57265, 1: 57290, 86: 57382, 87: 57407, 2: 57467, 3: 57509, 4: 57550, 36: 57585, 37: 57588, 5: 57720, 6: 57748, 7: 57782, 8: 57815, 9: 57840}"
266,"{92: 2400, 91: 2460, 90: 2485, 1: 2510, 86: 2602, 87: 2627, 2: 2687, 3: 2729, 4: 2770, 36: 2805, 37: 2808, 5: 2940, 6: 2968, 7: 3002, 8: 3035, 9: 3060}"
267,"{92: 6240, 91: 6300, 90: 6325, 1: 6350, 86: 6442, 87: 6467, 2: 6527, 3: 6569, 4: 6610, 36: 6645, 37: 6648, 5: 6780, 6: 6808, 7: 6842, 8: 6875, 9: 6900}"
268,"{10: 4080, 11: 4140, 12: 4164, 13: 4190, 14: 4210, 15: 4229, 38: 4255, 35: 4440, 34: 4443, 82: 4462, 81: 4502, 85: 4535, 84: 4595, 83: 4614, 16: 4628, 17: 4684, 88: 4695, 89: 4717, 93: 4739}"
269,"{92: 8100, 91: 8160, 90: 8180, 1: 8200, 86: 8271, 87: 8290, 2: 8350, 3: 8383, 4: 8414, 36: 8441, 37: 8444, 5: 8640, 6: 8662, 7: 8688, 8: 8714, 9: 8734}"
270,"{10: 5940, 11: 6000, 12: 6027, 13: 6057, 14: 6080, 15: 6102, 38: 6131, 35: 6300, 34: 6303, 82: 6325, 81: 6371, 85: 6409, 84: 6469, 83: 6490, 16: 6506, 17: 6570, 88: 6583, 89: 6608, 93: 6633}"
271,"{92: 9780, 91: 9840, 90: 9865, 1: 9890, 86: 9982, 87: 10007, 2: 10067, 3: 10109, 4: 10150, 36: 10185, 37: 10188, 5: 10320, 6: 10348, 7: 10382, 8: 10415, 9: 10440}"
272,"{10: 7800, 11: 7860, 12: 7887, 13: 7917, 14: 7940, 15: 7962, 38: 7991, 35: 8160, 34: 8163, 82: 8185, 81: 8231, 85: 8269, 84: 8329, 83: 8350, 16: 8366, 17: 8430, 88: 8443, 89: 8468, 93: 8493}"
273,"{92: 11640, 91: 11700, 90: 11720, 1: 11740, 86: 11811, 87: 11830, 2: 11890, 3: 11923, 4: 11954, 36: 11981, 37: 11984, 5: 12180, 6: 12202, 7: 12228, 8: 12254, 9: 12274}"
274,"{10: 9600, 11: 9660, 12: 9681, 13: 9704, 14: 9722, 15: 9739, 38: 9762, 35: 9960, 34: 9963, 82: 9980, 81: 10015, 85: 10045, 84: 10105, 83: 10122, 16: 10134, 17: 10184, 88: 10194, 89: 10214, 93: 10234}"
275,"{92: 13740, 91: 13800, 90: 13820, 1: 13840, 86: 13911, 87: 13930, 2: 13990, 3: 14023, 4: 14054, 36: 14081, 37: 14084, 5: 14280, 6: 14302, 7: 14328, 8: 14354, 9: 14374}"
276,"{10: 11280, 11: 11340, 12: 11367, 13: 11397, 14: 11420, 15: 11442, 38: 11471, 35: 11640, 34: 11643, 82: 11665, 81: 11711, 85: 11749, 84: 11809, 83: 11830, 16: 11846, 17: 11910, 88: 11923, 89: 11948, 93: 11973}"
277,"{92: 15360, 91: 15420, 90: 15445, 1: 15470, 86: 15562, 87: 15587, 2: 15647, 3: 15689, 4: 15730, 36: 15765, 37: 15768, 5: 15900, 6: 15928, 7: 15962, 8: 15995, 9: 16020}"
278,"{10: 13200, 11: 13260, 12: 13287, 13: 13317, 14: 13340, 15: 13362, 38: 13391, 35: 13560, 34: 13563, 82: 13585, 81: 13631, 85: 13669, 84: 13729, 83: 13750, 16: 13766, 17: 13830, 88: 13843, 89: 13868, 93: 13893}"
279,"{92: 17100, 91: 17160, 90: 17182, 1: 17204, 86: 17284, 87: 17306, 2: 17366, 3: 17403, 4: 17438, 36: 17468, 37: 17471, 5: 17640, 6: 17665, 7: 17695, 8: 17724, 9: 17746}"
280,"{10: 14340, 11: 14400, 12: 14427, 13: 14457, 14: 14480, 15: 14502, 38: 14531, 35: 14700, 34: 14703, 82: 14725, 81: 14771, 85: 14809, 84: 14869, 83: 14890, 16: 14906, 17: 14970, 88: 14983, 89: 15008, 93: 15033}"
281,"{92: 19500, 91: 19560, 90: 19585, 1: 19610, 86: 19702, 87: 19727, 2: 19787, 3: 19829, 4: 19870, 36: 19905, 37: 19908, 5: 20100, 6: 20128, 7: 20162, 8: 20195, 9: 20220}"
282,"{10: 15900, 11: 15960, 12: 15987, 13: 16017, 14: 16040, 15: 16062, 38: 16091, 35: 16260, 34: 16263, 82: 16285, 81: 16331, 85: 16369, 84: 16429, 83: 16450, 16: 16466, 17: 16530, 88: 16543, 89: 16568, 93: 16593}"
283,"{92: 21420, 91: 21480, 90: 21505, 1: 21530, 86: 21622, 87: 21647, 2: 21707, 3: 21749, 4: 21790, 36: 21825, 37: 21828, 5: 21960, 6: 21988, 7: 22022, 8: 22055, 9: 22080}"
284,"{10: 17700, 11: 17760, 12: 17784, 13: 17810, 14: 17830, 15: 17849, 38: 17875, 35: 18060, 34: 18063, 82: 18082, 81: 18122, 85: 18155, 84: 18215, 83: 18234, 16: 18248, 17: 18304, 88: 18315, 89: 18337, 93: 18359}"
285,"{92: 23220, 91: 23280, 90: 23300, 1: 23320, 86: 23391, 87: 23410, 2: 23470, 3: 23503, 4: 23534, 36: 23561, 37: 23564, 5: 23760, 6: 23782, 7: 23808, 8: 23834, 9: 23854}"
286,"{10: 19500, 11: 19560, 12: 19587, 13: 19617, 14: 19640, 15: 19662, 38: 19691, 35: 19860, 34: 19863, 82: 19885, 81: 19931, 85: 19969, 84: 20029, 83: 20050, 16: 20066, 17: 20130, 88: 20143, 89: 20168, 93: 20193}"
287,"{92: 25020, 91: 25080, 90: 25105, 1: 25130, 86: 25222, 87: 25247, 2: 25307, 3: 25349, 4: 25390, 36: 25425, 37: 25428, 5: 25560, 6: 25588, 7: 25622, 8: 25655, 9: 25680}"
288,"{10: 21600, 11: 21660, 12: 21687, 13: 21717, 14: 21740, 15: 21762, 38: 21791, 35: 21960, 34: 21963, 82: 21985, 81: 22031, 85: 22069, 84: 22129, 83: 22150, 16: 22166, 17: 22230, 88: 22243, 89: 22268, 93: 22293}"
289,"{92: 26820, 91: 26880, 90: 26905, 1: 26930, 86: 27022, 87: 27047, 2: 27107, 3: 27149, 4: 27190, 36: 27225, 37: 27228, 5: 27360, 6: 27388, 7: 27422, 8: 27455, 9: 27480}"
290,"{10: 23340, 11: 23400, 12: 23424, 13: 23450, 14: 23470, 15: 23489, 38: 23515, 35: 23700, 34: 23703, 82: 23722, 81: 23762, 85: 23795, 84: 23855, 83: 23874, 16: 23888, 17: 23944, 88: 23955, 89: 23977, 93: 23999}"
291,"{92: 28560, 91: 28620, 90: 28645, 1: 28670, 86: 28762, 87: 28787, 2: 28847, 3: 28889, 4: 28930, 36: 28965, 37: 28968, 5: 29160, 6: 29188, 7: 29222, 8: 29255, 9: 29280}"
292,"{10: 25200, 11: 25260, 12: 25287, 13: 25317, 14: 25340, 15: 25362, 38: 25391, 35: 25560, 34: 25563, 82: 25585, 81: 25631, 85: 25669, 84: 25729, 83: 25750, 16: 25766, 17: 25830, 88: 25843, 89: 25868, 93: 25893}"
293,"{92: 30480, 91: 30540, 90: 30562, 1: 30584, 86: 30664, 87: 30686, 2: 30746, 3: 30783, 4: 30818, 36: 30848, 37: 30851, 5: 31020, 6: 31045, 7: 31075, 8: 31104, 9: 31126}"
294,"{10: 26940, 11: 27000, 12: 27027, 13: 27057, 14: 27080, 15: 27102, 38: 27131, 35: 27300, 34: 27303, 82: 27325, 81: 27371, 85: 27409, 84: 27469, 83: 27490, 16: 27506, 17: 27570, 88: 27583, 89: 27608, 93: 27633}"
295,"{92: 32400, 91: 32460, 90: 32482, 1: 32504, 86: 32584, 87: 32606, 2: 32666, 3: 32703, 4: 32738, 36: 32768, 37: 32771, 5: 32940, 6: 32965, 7: 32995, 8: 33024, 9: 33046}"
296,"{10: 28800, 11: 28860, 12: 28884, 13: 28910, 14: 28930, 15: 28949, 38: 28975, 35: 29160, 34: 29163, 82: 29182, 81: 29222, 85: 29255, 84: 29315, 83: 29334, 16: 29348, 17: 29404, 88: 29415, 89: 29437, 93: 29459}"
297,"{92: 34140, 91: 34200, 90: 34220, 1: 34240, 86: 34311, 87: 34330, 2: 34390, 3: 34423, 4: 34454, 36: 34481, 37: 34484, 5: 34680, 6: 34702, 7: 34728, 8: 34754, 9: 34774}"
298,"{10: 30480, 11: 30540, 12: 30567, 13: 30597, 14: 30620, 15: 30642, 38: 30671, 35: 30840, 34: 30843, 82: 30865, 81: 30911, 85: 30949, 84: 31009, 83: 31030, 16: 31046, 17: 31110, 88: 31123, 89: 31148, 93: 31173}"
299,"{92: 35940, 91: 36000, 90: 36025, 1: 36050, 86: 36142, 87: 36167, 2: 36227, 3: 36269, 4: 36310, 36: 36345, 37: 36348, 5: 36480, 6: 36508, 7: 36542, 8: 36575, 9: 36600}"
300,"{10: 32400, 11: 32460, 12: 32487, 13: 32517, 14: 32540, 15: 32562, 38: 32591, 35: 32760, 34: 32763, 82: 32785, 81: 32831, 85: 32869, 84: 32929, 83: 32950, 16: 32966, 17: 33030, 88: 33043, 89: 33068, 93: 33093}"
301,"{92: 37320, 91: 37380, 90: 37400, 1: 37420, 86: 37491, 87: 37510, 2: 37570, 3: 37603, 4: 37634, 36: 37661, 37: 37664, 5: 37920, 6: 37942, 7: 37968, 8: 37994, 9: 38014}"
302,"{10: 34020, 11: 34080, 12: 34101, 13: 34124, 14: 34142, 15: 34159, 38: 34182, 35: 34380, 34: 34383, 82: 34400, 81: 34435, 85: 34465, 84: 34525, 83: 34542, 16: 34554, 17: 34604, 88: 34614, 89: 34634, 93: 34654}"
303,"{92: 39600, 91: 39660, 90: 39685, 1: 39710, 86: 39802, 87: 39827, 2: 39887, 3: 39929, 4: 39970, 36: 40005, 37: 40008, 5: 40140, 6: 40168, 7: 40202, 8: 40235, 9: 40260}"
304,"{10: 35820, 11: 35880, 12: 35907, 13: 35937, 14: 35960, 15: 35982, 38: 36011, 35: 36180, 34: 36183, 82: 36205, 81: 36251, 85: 36289, 84: 36349, 83: 36370, 16: 36386, 17: 36450, 88: 36463, 89: 36488, 93: 36513}"
305,"{92: 41460, 91: 41520, 90: 41545, 1: 41570, 86: 41662, 87: 41687, 2: 41747, 3: 41789, 4: 41830, 36: 41865, 37: 41868, 5: 42000, 6: 42028, 7: 42062, 8: 42095, 9: 42120}"
306,"{10: 37620, 11: 37680, 12: 37707, 13: 37737, 14: 37760, 15: 37782, 38: 37811, 35: 37980, 34: 37983, 82: 38005, 81: 38051, 85: 38089, 84: 38149, 83: 38170, 16: 38186, 17: 38250, 88: 38263, 89: 38288, 93: 38313}"
307,"{92: 43200, 91: 43260, 90: 43285, 1: 43310, 86: 43402, 87: 43427, 2: 43487, 3: 43529, 4: 43570, 36: 43605, 37: 43608, 5: 43740, 6: 43768, 7: 43802, 8: 43835, 9: 43860}"
308,"{10: 39420, 11: 39480, 12: 39504, 13: 39530, 14: 39550, 15: 39569, 38: 39595, 35: 39780, 34: 39783, 82: 39802, 81: 39842, 85: 39875, 84: 39935, 83: 39954, 16: 39968, 17: 40024, 88: 40035, 89: 40057, 93: 40079}"
309,"{92: 44940, 91: 45000, 90: 45020, 1: 45040, 86: 45111, 87: 45130, 2: 45190, 3: 45223, 4: 45254, 36: 45281, 37: 45284, 5: 45480, 6: 45502, 7: 45528, 8: 45554, 9: 45574}"
